"tipo","nome","creata","modificata"
"SQL_INLINE_TABLE_VALUED_FUNCTION","PALM_UltimaPosizione","2021-04-06","2021-11-16"
"SQL_SCALAR_FUNCTION","ADER_IMG_Mancanti","2024-06-20","2026-01-16"
"SQL_SCALAR_FUNCTION","ADER4_VerificaAssenti","2023-12-06","2023-12-06"
"SQL_SCALAR_FUNCTION","CalcolaCheckDigitUPU","2025-03-20","2025-03-20"
"SQL_SCALAR_FUNCTION","CalcolaCodiceFiscale","2024-07-02","2024-07-02"
"SQL_SCALAR_FUNCTION","CalcolaPrezzoUnitario","2021-04-21","2026-03-05"
"SQL_SCALAR_FUNCTION","CalculateTextWidth","2025-09-29","2025-09-29"
"SQL_SCALAR_FUNCTION","CheckDigit_DT","2024-01-30","2024-01-30"
"SQL_SCALAR_FUNCTION","CheckDigit_PI_1_2","2025-03-19","2025-03-19"
"SQL_SCALAR_FUNCTION","checkDigitPI","2023-10-06","2023-10-06"
"SQL_SCALAR_FUNCTION","CleanString","2024-05-16","2024-05-16"
"SQL_SCALAR_FUNCTION","CriptaMD5","2024-05-22","2024-05-22"
"SQL_SCALAR_FUNCTION","FileExists","2025-10-04","2025-10-04"
"SQL_SCALAR_FUNCTION","FindNextCPCLCommand","2025-09-29","2025-09-29"
"SQL_SCALAR_FUNCTION","fn_diagramobjects","2021-02-04","2021-07-18"
"SQL_SCALAR_FUNCTION","fn_FileExists","2026-05-14","2026-05-14"
"SQL_SCALAR_FUNCTION","fn_GetNthPart","2025-07-04","2025-07-04"
"SQL_SCALAR_FUNCTION","fn_RGBToHex","2026-01-22","2026-01-22"
"SQL_SCALAR_FUNCTION","fn_RGBToHex_Random","2026-01-22","2026-01-22"
"SQL_SCALAR_FUNCTION","fncProcessCPCL","2025-09-04","2025-09-04"
"SQL_SCALAR_FUNCTION","FormatCPCLCode","2025-09-29","2025-09-29"
"SQL_SCALAR_FUNCTION","FunVerificaBarcode","2021-02-22","2021-07-18"
"SQL_SCALAR_FUNCTION","GeneraGUID","2025-04-08","2025-04-08"
"SQL_SCALAR_FUNCTION","GetAMCPEU","2022-01-11","2022-01-11"
"SQL_SCALAR_FUNCTION","GetBelfiore","2022-06-07","2025-09-09"
"SQL_SCALAR_FUNCTION","GetBelfioreByCap","2026-03-10","2026-03-10"
"SQL_SCALAR_FUNCTION","getCapByGeneric","2024-05-23","2024-05-23"
"SQL_SCALAR_FUNCTION","GetCoperturaFiliale","2021-04-12","2025-09-10"
"SQL_SCALAR_FUNCTION","GetDataNascitaFromCFISC","2024-05-13","2024-05-13"
"SQL_SCALAR_FUNCTION","GetDifferences","2024-09-19","2024-09-19"
"SQL_SCALAR_FUNCTION","GetEasterDate","2025-01-29","2025-01-29"
"SQL_SCALAR_FUNCTION","getFascicoloChiuso","2023-08-10","2024-04-29"
"SQL_SCALAR_FUNCTION","getFirmaDigital","2025-10-22","2025-10-22"
"SQL_SCALAR_FUNCTION","GetGiorniLavorativi","2025-01-29","2025-01-29"
"SQL_SCALAR_FUNCTION","getIdPrimoPassaggioADER","2025-02-04","2025-02-04"
"SQL_SCALAR_FUNCTION","getLastScatolaADER","2025-01-28","2025-01-29"
"SQL_SCALAR_FUNCTION","GetListinoConsip","2024-02-15","2024-02-15"
"SQL_SCALAR_FUNCTION","GetNextAvailableDate","2025-09-08","2026-04-23"
"SQL_SCALAR_FUNCTION","getNumPaginaDistinta","2023-08-10","2023-08-10"
"SQL_SCALAR_FUNCTION","GetProvByCap","2026-03-10","2026-03-10"
"SQL_SCALAR_FUNCTION","getStatoBloccante","2024-03-29","2024-03-29"
"SQL_SCALAR_FUNCTION","GetTargaFromVarchar","2025-01-10","2025-01-10"
"SQL_SCALAR_FUNCTION","GetTDC","2021-02-12","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTDD","2021-02-12","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTDN","2021-02-12","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTIC","2021-02-12","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTIN","2021-02-12","2021-07-18"
"SQL_SCALAR_FUNCTION","GiorniLavorativi","2021-11-16","2025-08-11"
"SQL_SCALAR_FUNCTION","IsDataFestiva","2023-11-30","2024-11-19"
"SQL_SCALAR_FUNCTION","IsDataFestiva5","2024-11-18","2024-11-18"
"SQL_SCALAR_FUNCTION","IsHolidayDynamic","2025-09-08","2025-09-08"
"SQL_SCALAR_FUNCTION","PALM_ReplaceField","2021-04-07","2025-08-29"
"SQL_SCALAR_FUNCTION","PALM_ScegliStampa","2021-04-07","2025-08-07"
"SQL_SCALAR_FUNCTION","ReplaceAccapo","2024-05-22","2024-05-22"
"SQL_SCALAR_FUNCTION","ReplaceNonAccenti","2025-09-09","2025-09-09"
"SQL_SCALAR_FUNCTION","ReplaceNonANSII","2021-05-19","2022-02-04"
"SQL_SCALAR_FUNCTION","ReplaceNonASCII","2023-03-15","2025-02-04"
"SQL_SCALAR_FUNCTION","SetPunteggio","2024-02-28","2025-04-10"
"SQL_SCALAR_FUNCTION","UNIX_TIMESTAMP","2023-04-01","2023-04-01"
"SQL_SCALAR_FUNCTION","UpdateHeaderWidth","2025-09-29","2025-09-29"
"SQL_SCALAR_FUNCTION","WrapTextLine","2025-09-29","2025-09-29"
"SQL_STORED_PROCEDURE","aaa_test_0","2023-11-22","2023-11-22"
"SQL_STORED_PROCEDURE","ADE_Accettazione","2024-01-23","2024-01-25"
"SQL_STORED_PROCEDURE","ADE_RENDICONTA","2023-12-15","2024-06-04"
"SQL_STORED_PROCEDURE","ADER4_AnnullaEsito","2023-09-18","2023-10-05"
"SQL_STORED_PROCEDURE","ADER4_BILANCIO","2024-02-13","2025-02-11"
"SQL_STORED_PROCEDURE","ADER4_CalcoloQuadratura","2023-08-08","2023-08-08"
"SQL_STORED_PROCEDURE","ADER4_CambioDataDistinta","2023-11-21","2024-03-18"
"SQL_STORED_PROCEDURE","ADER4_Checkin","2023-06-23","2023-11-07"
"SQL_STORED_PROCEDURE","ADER4_ExportQuadratura","2023-05-29","2023-08-09"
"SQL_STORED_PROCEDURE","ADER4_FTP_Memorizza","2023-05-19","2024-09-10"
"SQL_STORED_PROCEDURE","ADER4_FTP_SfogliaDir","2023-05-19","2023-09-18"
"SQL_STORED_PROCEDURE","ADER4_FTP_SfogliaFile","2023-09-04","2024-09-10"
"SQL_STORED_PROCEDURE","ADER4_GeneraCGD","2023-08-07","2023-08-07"
"SQL_STORED_PROCEDURE","ADER4_GeneraPIS","2023-08-02","2024-11-15"
"SQL_STORED_PROCEDURE","ADER4_InviaRichiestaAnagrafica","2023-05-30","2024-01-09"
"SQL_STORED_PROCEDURE","ADER4_LoadAFF","2023-05-20","2024-07-03"
"SQL_STORED_PROCEDURE","ADER4_LoadAFN","2023-05-23","2023-05-31"
"SQL_STORED_PROCEDURE","ADER4_LoadEAS","2023-08-07","2024-09-10"
"SQL_STORED_PROCEDURE","ADER4_LoadEVE","2023-05-23","2025-03-06"
"SQL_STORED_PROCEDURE","ADER4_LoadOK","2023-06-26","2023-10-24"
"SQL_STORED_PROCEDURE","ADER4_LoadPDF","2023-09-05","2023-09-05"
"SQL_STORED_PROCEDURE","ADER4_LoadPIC","2023-10-03","2023-10-03"
"SQL_STORED_PROCEDURE","ADER4_LoadSCA","2023-05-25","2023-10-16"
"SQL_STORED_PROCEDURE","ADER4_PopolaAderPis","2023-11-03","2023-11-03"
"SQL_STORED_PROCEDURE","ADER4_POSTALIZZA","2023-06-13","2024-12-06"
"SQL_STORED_PROCEDURE","ADER4_POSTALIZZA_old","2023-07-11","2023-07-11"
"SQL_STORED_PROCEDURE","ADER4_ProduttivitaPostini","2023-11-09","2024-09-12"
"SQL_STORED_PROCEDURE","ADER4_Raccomandate","2023-10-23","2024-10-01"
"SQL_STORED_PROCEDURE","ADER4_REND_AnnullaElenco","2023-10-19","2023-10-19"
"SQL_STORED_PROCEDURE","ADER4_REND_Annullamento","2023-07-28","2023-10-19"
"SQL_STORED_PROCEDURE","ADER4_RENDICONTA","2023-05-29","2024-12-04"
