"tipo","nome","creata","modificata"
"SQL_INLINE_TABLE_VALUED_FUNCTION","Near_Address","2009-12-13","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_calculateJaro","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_calculateJaroWinkler","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_calculateMatchWindow","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_calculatePrefixLength","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_calculateTranspositions","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_diagramobjects","2009-12-05","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_GetCommonCharacters","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_StrClean","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","fn_StrCleanExtraAscii","2010-03-31","2021-08-29"
"SQL_SCALAR_FUNCTION","GetCodEnteFromComune","2010-02-18","2021-08-29"
"SQL_SCALAR_FUNCTION","GetCodIstatFromComune","2010-02-18","2021-08-29"
"SQL_SCALAR_FUNCTION","GetDugFromIndirizzo","2010-03-04","2021-08-29"
"SQL_SCALAR_FUNCTION","GetNomeComune","2010-02-17","2021-08-29"
"SQL_SCALAR_FUNCTION","GetTDC","2024-02-27","2024-02-27"
"SQL_SCALAR_FUNCTION","GetTDD","2024-02-27","2024-02-27"
"SQL_SCALAR_FUNCTION","GetTDN","2024-02-27","2024-02-27"
"SQL_SCALAR_FUNCTION","GetTIC","2024-02-27","2024-02-27"
"SQL_SCALAR_FUNCTION","GetTIN","2024-02-27","2024-02-27"
"SQL_SCALAR_FUNCTION","Levenshtein","2009-12-05","2021-08-29"
"SQL_STORED_PROCEDURE","GEO_Normalizza","2025-01-23","2025-01-23"
"SQL_STORED_PROCEDURE","GEO_Normalizza_HERE","2025-01-28","2026-02-18"
"SQL_STORED_PROCEDURE","GEO_Normalizza_OSM","2025-01-23","2025-01-31"
"SQL_STORED_PROCEDURE","GetIndirizzoFromDB","2010-03-04","2010-03-24"
"SQL_STORED_PROCEDURE","GetIndirizzoFromFulltextDist","2010-03-04","2010-06-14"
"SQL_STORED_PROCEDURE","GetIndirizzoFromJaroDist","2010-03-04","2010-03-04"
"SQL_STORED_PROCEDURE","GetIndirizzoFromLevenDist","2010-03-04","2010-03-04"
"SQL_STORED_PROCEDURE","GetInfoFromComune","2010-02-18","2010-03-02"
"SQL_STORED_PROCEDURE","Near_Indirizzi","2009-12-13","2009-12-13"
"SQL_STORED_PROCEDURE","SetLogVia","2010-03-05","2010-03-10"
"SQL_STORED_PROCEDURE","sp_alterdiagram","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","sp_creatediagram","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","sp_dropdiagram","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","sp_helpdiagramdefinition","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","sp_helpdiagrams","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","sp_renamediagram","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","sp_upgraddiagrams","2009-12-05","2009-12-05"
"SQL_STORED_PROCEDURE","spGeocode","2010-05-27","2010-05-27"
"SQL_STORED_PROCEDURE","test","2010-02-19","2010-02-19"
"VIEW","COMUNE_INDIRIZZI","2010-05-06","2010-05-07"
"VIEW","STRADAX","2010-01-29","2010-01-29"
