"tipo","nome","creata","modificata"
"SQL_SCALAR_FUNCTION","Calc_Giorno_Lavorabile","2017-05-02","2021-07-18"
"SQL_SCALAR_FUNCTION","Calc_Giorno_Produttivo","2017-03-30","2021-07-18"
"SQL_SCALAR_FUNCTION","Calc_Punteggio_Tot","2016-11-22","2021-07-18"
"SQL_SCALAR_FUNCTION","Calc_Target","2017-01-03","2021-07-18"
"SQL_SCALAR_FUNCTION","CreateUsernameApp","2017-07-05","2021-07-18"
"SQL_SCALAR_FUNCTION","DecodeBase","2021-10-27","2021-11-24"
"SQL_SCALAR_FUNCTION","DecodeUTF8String","2021-10-27","2021-10-27"
"SQL_SCALAR_FUNCTION","fn_diagramobjects","2016-09-27","2021-07-18"
"SQL_SCALAR_FUNCTION","GetPunteggioDip","2021-02-05","2021-07-18"
"SQL_SCALAR_FUNCTION","GetRepZuk","2020-04-07","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTargaFromVarchar","2020-02-10","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTDC","2021-01-21","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTDD","2021-01-21","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTDN","2021-01-21","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTIC","2021-01-21","2021-07-18"
"SQL_SCALAR_FUNCTION","GetTIN","2021-01-21","2021-07-18"
"SQL_STORED_PROCEDURE","AAA_ORE01","2025-01-09","2025-01-10"
"SQL_STORED_PROCEDURE","Analisi_POLIMI","2020-02-20","2020-03-06"
"SQL_STORED_PROCEDURE","aspnet_AnyDataInTables","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Applications_CreateApplication","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_CheckSchemaVersion","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_ChangePasswordQuestionAndAnswer","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_CreateUser","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_FindUsersByEmail","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_FindUsersByName","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetAllUsers","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetNumberOfUsersOnline","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetPassword","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetPasswordWithFormat","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetUserByEmail","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetUserByName","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_GetUserByUserId","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_ResetPassword","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_SetPassword","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_UnlockUser","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_UpdateUser","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Membership_UpdateUserInfo","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Paths_CreatePath","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Personalization_GetApplicationId","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAdministration_DeleteAllState","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAdministration_FindState","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAdministration_GetCountOfState","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAdministration_ResetSharedState","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAdministration_ResetUserState","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAllUsers_GetPageSettings","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAllUsers_ResetPageSettings","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationAllUsers_SetPageSettings","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationPerUser_GetPageSettings","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationPerUser_ResetPageSettings","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_PersonalizationPerUser_SetPageSettings","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Profile_DeleteInactiveProfiles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Profile_DeleteProfiles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Profile_GetNumberOfInactiveProfiles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Profile_GetProfiles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Profile_GetProperties","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Profile_SetProperties","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_RegisterSchemaVersion","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Roles_CreateRole","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Roles_DeleteRole","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Roles_GetAllRoles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Roles_RoleExists","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Setup_RemoveAllRoleMembers","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Setup_RestorePermissions","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UnRegisterSchemaVersion","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Users_CreateUser","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_Users_DeleteUser","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UsersInRoles_AddUsersToRoles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UsersInRoles_FindUsersInRole","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UsersInRoles_GetRolesForUser","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UsersInRoles_GetUsersInRoles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UsersInRoles_IsUserInRole","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_UsersInRoles_RemoveUsersFromRoles","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","aspnet_WebEvent_LogEvent","2020-03-11","2020-03-11"
"SQL_STORED_PROCEDURE","Attivita_Produzione","2017-01-04","2019-05-10"
"SQL_STORED_PROCEDURE","beta_lockinfo","2020-03-02","2020-03-02"
"SQL_STORED_PROCEDURE","calcPunteggi","2019-04-10","2019-08-05"
"SQL_STORED_PROCEDURE","calcPunteggiDip","2019-08-05","2019-11-14"
"SQL_STORED_PROCEDURE","CDG_Estrazione","2020-07-21","2020-07-21"
"SQL_STORED_PROCEDURE","COMBO_varie","2020-05-31","2020-06-15"
"SQL_STORED_PROCEDURE","Crea_Attivita","2016-10-11","2020-06-04"
"SQL_STORED_PROCEDURE","Crea_Attivita_DateRange_Dip","2017-06-12","2020-09-28"
"SQL_STORED_PROCEDURE","Crea_giorni_lavorativi_mese","2016-12-19","2019-05-10"
"SQL_STORED_PROCEDURE","Dashboard_Maschere","2020-01-31","2020-01-31"
"SQL_STORED_PROCEDURE","FATEL_Allineamento","2020-02-06","2025-02-12"
"SQL_STORED_PROCEDURE","Fatture_Maschere","2020-02-21","2020-10-22"
"SQL_STORED_PROCEDURE","FATTURE_RipartizioneCDC","2020-10-21","2021-02-08"
"SQL_STORED_PROCEDURE","Fonia_Maschere","2020-01-29","2020-04-15"
"SQL_STORED_PROCEDURE","FORM_attivita","2020-11-03","2020-11-05"
"SQL_STORED_PROCEDURE","FORM_Bordero","2020-10-22","2021-04-09"
"SQL_STORED_PROCEDURE","FORM_CensimentoPalmari","2020-06-10","2020-07-10"
"SQL_STORED_PROCEDURE","FORM_Menu","2020-06-04","2021-01-22"
"SQL_STORED_PROCEDURE","FORM_MenuRuoli","2020-06-05","2020-06-15"
"SQL_STORED_PROCEDURE","FORM_NuoviDipendenti","2020-05-31","2020-06-05"
"SQL_STORED_PROCEDURE","FORM_SchedaVeicoli","2021-01-12","2021-01-12"
"SQL_STORED_PROCEDURE","IONE_AggiornaTracking","2021-04-26","2021-04-26"
"SQL_STORED_PROCEDURE","IONE_AggiornaTrackingIOne","2021-06-14","2021-12-14"
"SQL_STORED_PROCEDURE","IONE_AggiornaTrackingIOne_x1","2021-07-26","2021-07-27"
"SQL_STORED_PROCEDURE","IONE_GetOrdini","2021-01-15","2021-01-25"
"SQL_STORED_PROCEDURE","IONE_GetOrdini2","2021-06-11","2021-06-11"
"SQL_STORED_PROCEDURE","IONE_tmpciclo","2021-07-19","2021-07-19"
"SQL_STORED_PROCEDURE","IONE_UpdateOrdine","2021-01-25","2022-01-14"
"SQL_STORED_PROCEDURE","JSON_call","2021-01-15","2021-11-17"
"SQL_STORED_PROCEDURE","Map_TrackingDrivers","2020-06-04","2020-06-04"
"SQL_STORED_PROCEDURE","MAP_TrackingPosizioneDrivers","2020-04-01","2020-06-04"
"SQL_STORED_PROCEDURE","MAP_UltimaPosizioneDrivers","2020-03-27","2020-06-04"
"SQL_STORED_PROCEDURE","Mezzi_Maschere","2020-01-27","2020-02-26"
"SQL_STORED_PROCEDURE","PALM_AggiornaReport","2020-12-09","2020-12-10"
"SQL_STORED_PROCEDURE","PALM_Connect1","2020-12-02","2021-09-14"
"SQL_STORED_PROCEDURE","PALM_FineGita","2020-11-27","2024-10-29"
"SQL_STORED_PROCEDURE","PALM_GeneraReport","2020-12-09","2020-12-10"
"SQL_STORED_PROCEDURE","PALM_Load1","2020-06-11","2021-09-14"
"SQL_STORED_PROCEDURE","PALM_sync","2021-09-14","2026-03-25"
"SQL_STORED_PROCEDURE","PALM_sync_211026","2021-10-26","2021-10-26"
