"classificazione_proposta","in_uso","schema_nome","tabella","righe","mb","ultima_lettura","ultima_scrittura","creata","modificata"
"TEMP/OLD?","","dbo","xxGeoDB","11298125","2780,8","","","2009-12-05","2018-10-08"
"","","dbo","CIVICO","30940833","512,7","","","2009-12-13","2018-10-08"
"","","dbo","VIA","911641","88,6","2026-02-12 18:55","","2009-12-16","2021-08-29"
"TEMP/OLD?","","dbo","xxxGEODB","990331","77,1","","","2009-12-12","2009-12-13"
"","","dbo","GEO_Norm","924984","72,4","2026-06-11 12:40","2026-06-11 11:40","2025-01-28","2025-01-28"
"","","dbo","GEO_Norm_Req","1256040","72,3","2026-06-11 12:40","2026-06-11 11:40","2025-01-23","2025-01-23"
"","","dbo","SHP_comuni","24300","64,6","","","2025-01-17","2025-01-17"
"TEMP/OLD?","","dbo","xxxvia","803600","35,1","","","2009-12-06","2009-12-13"
"TEMP/OLD?","","dbo","tmp_260130_req2","285574","13,0","","","2026-01-30","2026-01-30"
"","","dbo","SHP_regioni","60","5,6","","","2025-01-16","2025-01-17"
"TEMP/OLD?","","dbo","xxposte_tab_cap","82674","5,5","","","2009-12-05","2009-12-13"
"","","dbo","VIA_SIRA","15744","5,2","","","2010-03-03","2010-03-03"
"","","dbo","SHP_nazioni","3","4,8","","","2025-01-16","2025-01-17"
"TEMP/OLD?","","dbo","tmp_260130_osm1","69806","4,3","","","2026-01-30","2026-01-30"
"","","dbo","COMUNE","8100","1,7","2026-02-12 18:55","","2009-12-16","2021-08-29"
"LOG","","dbo","LOG_VIA","25173","1,4","","","2010-03-09","2018-10-08"
"LOG","","dbo","LOG_COMUNE","9483","0,9","","","2010-10-26","2018-10-08"
"TEMP/OLD?","","dbo","xxCAP","8082","0,9","","","2009-12-05","2009-12-13"
"TEMP/OLD?","","dbo","xxxComuniFromCAD","8374","0,8","","","2010-02-17","2010-02-19"
"TEMP/OLD?","","dbo","old_LOG_COMUNE","9735","0,7","","","2010-02-18","2010-10-26"
"","","dbo","spatial_ref_sys","1","0,1","","","2025-01-16","2025-01-16"
"","","dbo","sysdiagrams","3","0,1","","","2009-12-05","2009-12-05"
"","","dbo","DUG","1586","0,1","","","2009-12-05","2018-10-08"
"TEMP/OLD?","","dbo","ZZ_OBJECTS","7","0,1","","","2024-02-27","2024-02-27"
"","","dbo","DATIMOB","3","0,1","","","2024-02-27","2024-02-27"
"TEMP/OLD?","","dbo","xxx2via","1565","0,1","","","2009-12-06","2009-12-13"
"","","dbo","geometry_columns","0","0,1","","","2025-01-16","2025-01-16"
"","","dbo","TIPO_COMUNICAZIONE","3","0,0","","","2010-01-14","2010-01-14"
"","","dbo","PROVINCIA","110","0,0","","","2010-03-05","2011-12-12"
"","","dbo","REGIONE","20","0,0","","","2010-03-05","2010-03-05"
