"classificazione_proposta","in_uso","schema_nome","tabella","righe","mb","ultima_lettura","ultima_scrittura","creata","modificata"
"","","dbo","PALM_ATTIVITA","27345814","68053,3","2026-06-11 12:40","2026-06-11 12:40","2020-12-10","2025-06-14"
"","","dbo","PALM_RAW","282105852","56630,8","2026-06-11 12:40","2026-06-11 12:40","2020-05-29","2026-05-30"
"","","dbo","OPS_Consegne","11926455","3419,9","2026-06-10 23:55","","2020-03-27","2024-02-09"
"","","dbo","PALM_MD5","19304355","1928,5","","2026-06-11 12:40","2022-06-06","2022-06-06"
"","","dbo","OPS_Posizioni","12541740","1053,1","","","2020-04-01","2022-11-15"
"","","dbo","NEXIVE_Consegne","2610280","348,1","","","2020-10-23","2020-10-29"
"TEMP/OLD?","","dbo","tempX","1048575","322,2","","","2020-10-22","2020-10-22"
"","","dbo","OPS_Attivita","847062","280,1","2026-06-11 00:20","2026-06-11 00:20","2019-04-08","2026-06-07"
"IMPORT EXCEL?","","dbo","Speedy_tri","1048575","278,4","","","2020-09-09","2020-09-09"
"","","dbo","PALM_RAW_SCARTATI","204177","176,6","2026-06-11 01:08","2026-06-11 12:36","2021-10-27","2021-10-27"
"","","dbo","SPED_ATTIVITA","248070","172,7","2026-06-11 12:40","2026-06-11 12:40","2021-01-25","2024-02-12"
"","","dbo","OPS_Costi","154881","158,4","2026-06-11 00:24","2026-06-11 00:24","2019-10-08","2026-06-07"
"","","dbo","FATEL_LEALIFAT_DETT","785264","149,5","2026-06-11 01:08","2026-06-11 00:20","2021-02-01","2021-02-01"
"","","dbo","FATEL_LEALIDETDGEST","643699","135,3","2026-06-11 01:08","2026-06-11 00:21","2020-02-06","2025-07-26"
"TEMP/OLD?","","dbo","temp_parcel9","391394","135,3","","","2020-10-28","2020-10-28"
"","","dbo","FATEL_LEALIFAT_MAST","123852","75,5","2026-06-11 01:13","2026-06-11 00:20","2020-02-06","2026-05-30"
"TEMP/OLD?","","dbo","tmp_211026_rawdeleted","233592","44,0","","","2021-10-26","2021-10-26"
"","","dbo","OPS_KM","497771","29,8","","2026-06-11 00:20","2019-05-03","2026-06-07"
"","","dbo","SOTI_ApiKey","18606","18,4","","","2021-11-17","2021-12-09"
"LOG","","dbo","LOG_Exec","136213","12,5","","","2020-03-27","2020-03-27"
"","","dbo","OPS_Costi_bck200207","16961","5,0","","","2020-02-07","2020-02-07"
"","","dbo","IOne_VenditeAgenti","20741","4,9","","","2017-08-01","2017-08-01"
"LOG","","dbo","LOG_Attivita","58441","4,1","","","2019-04-19","2019-04-19"
"LOG","","dbo","SOTI_log","133646","3,1","","","2021-12-15","2021-12-15"
"TEMP/OLD?","","dbo","tmp_ZORAMARC_2017","11877","2,9","","","2021-10-15","2021-10-15"
"LOG","","dbo","LOGTabelle","0","1,0","2026-06-11 01:04","2026-06-11 01:04","2024-02-07","2025-01-11"
"","","dbo","ANA_Mail","202","0,9","","","2019-06-12","2019-06-21"
"","","dbo","ANA_Dipendenti","607","0,5","2026-06-11 12:40","2026-06-11 00:20","2020-05-12","2026-06-07"
"","","dbo","aspnet_Applications","2","0,3","","","2020-03-11","2020-06-15"
"","","dbo","MEZZI_Rifornimenti","1408","0,3","","","2024-02-09","2024-02-09"
"","","dbo","aspnet_Users","72","0,3","","","2020-03-11","2026-06-06"
"","","dbo","OPS_ZukPaghe","206","0,3","","","2020-04-07","2026-06-06"
"","","dbo","aspnet_Membership","142","0,3","","","2020-03-11","2026-06-06"
"","","dbo","ANA_Spedizioni","1805","0,2","","","2019-04-29","2019-11-14"
"","","dbo","OPS_Mezzi","1724","0,2","","","2019-04-18","2026-06-07"
"TEMP/OLD?","","dbo","ZZ_OBJECTS","139","0,2","","","2021-01-21","2026-06-06"
